Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,449.4,13891,3091000
Arizona,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,358.7,33168,7291843
New Mexico,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,366.5,9733,2099634
Puerto Rico,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,367.8,16628,3193553
Colorado,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,392.4,25494,5758486
California,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,397,178202,39437610
Virginia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,401.8,41646,8556642
District of Columbia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,403.5,2838,708253
Utah,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,406.5,11888,3203383
Indiana,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,410,33433,6731010
Oregon,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,411.3,22429,4216116
Texas,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,412.4,123923,28986794
Hawaii,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,413.5,7657,1415615
Wyoming,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,415.3,3027,580116
Alaska,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,418.5,3160,733603
South Carolina,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,419.4,28296,5157702
South Dakota,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,428.6,4688,887127
Washington,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,428.6,38772,7614024
Michigan,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,432.7,56193,9984795
Massachusetts,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,433.2,38013,6894883
Florida,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,434.1,133913,21492056
North Dakota,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,440.6,3904,763724
Idaho,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,440.9,9383,1789060
Missouri,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,442.5,34478,6140475
Minnesota,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,442.8,30558,5640053
Alabama,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,443.4,27794,4907965
Tennessee,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,446.5,38258,6830325
Oklahoma,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,446.6,21121,3960676
Montana,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,449.6,6473,1070123
Vermont,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,450.5,3956,624046
Kansas,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,452.2,15813,2912635
Illinois,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,453.6,70175,12667017
Maryland,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,453.6,33659,6054954
Delaware,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,455.9,6118,976668
Nebraska,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,457.3,10515,1932571
Pennsylvania,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,457.5,79001,12798883
Georgia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,458.8,55290,10628020
North Carolina,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,460.8,60331,10501384
Ohio,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,468,70363,11696507
Connecticut,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,468.3,22051,3566022
Wisconsin,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,468.7,35263,5824581
Mississippi,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,469.6,17202,2978227
Rhode Island,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,473.7,6530,1058158
New Hampshire,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,475.8,8996,1360783
Maine,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,478.1,9600,1345770
West Virginia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,480.5,12188,1795263
New Jersey,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,483.7,54271,8891258
New York,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,484.9,118803,19463131
Arkansas,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,487.6,18596,3020985
Louisiana,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,490,27529,4658285
Iowa,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,494.1,19800,3159596
Kentucky,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Incidence,504.9,28243,4472345
