Zip Code,% with Cancer,
77002,2.80%,
77054,2.80%,
77081,2.80%,
77060,3.20%,
77067,3.30%,
77038,3.40%,
77073,3.40%,
77014,3.60%,
77075,3.60%,
77086,3.60%,
77012,3.70%,
77003,3.80%,
77036,3.80%,
77049,3.80%,
77076,3.80%,
77396,3.80%,
77506,3.80%,
77034,3.90%,
77072,3.90%,
77085,3.90%,
77449,3.90%,
77023,4.00%,
77037,4.00%,
77039,4.00%,
77093,4.00%,
77099,4.00%,
77004,4.10%,
77007,4.10%,
77032,4.10%,
77044,4.10%,
77061,4.10%,
77083,4.10%,
77587,4.10%,
77011,4.20%,
77017,4.20%,
77084,4.20%,
77087,4.20%,
77090,4.20%,
77433,4.20%,
77598,4.20%,
77013,4.30%,
77015,4.30%,
77064,4.30%,
77530,4.30%,
77082,4.40%,
77006,4.50%,
77020,4.50%,
77031,4.50%,
77041,4.50%,
77045,4.50%,
77066,4.50%,
77078,4.50%,
77338,4.50%,
77547,4.50%,
77042,4.60%,
77047,4.60%,
77022,4.70%,
77040,4.70%,
77050,4.70%,
77074,4.70%,
77088,4.70%,
77089,4.70%,
77095,4.70%,
77009,4.80%,
77373,4.80%,
77030,4.90%,
77035,4.90%,
77055,4.90%,
77057,4.90%,
77063,4.90%,
77080,4.90%,
77092,4.90%,
77098,4.90%,
77010,5.00%,
77065,5.00%,
77091,5.00%,
77502,5.00%,
77503,5.00%,
77346,5.10%,
77026,5.30%,
77048,5.30%,
77071,5.30%,
77429,5.30%,
77504,5.30%,
77008,5.40%,
77029,5.40%,
77070,5.40%,
77493,5.40%,
77505,5.40%,
77521,5.40%,
77019,5.50%,
77077,5.50%,
77375,5.50%,
77450,5.50%,
77520,5.50%,
77025,5.60%,
77043,5.60%,
77377,5.60%,
77571,5.60%,
77021,5.70%,
77028,5.70%,
77033,5.70%,
77058,5.70%,
77388,5.70%,
77379,5.80%,
77389,5.80%,
77016,5.90%,
77051,5.90%,
77447,5.90%,
77532,5.90%,
77027,6.00%,
77094,6.00%,
77046,6.10%,
77068,6.20%,
77336,6.20%,
77536,6.20%,
77005,6.30%,
77018,6.30%,
77562,6.30%,
77586,6.40%,
77059,6.50%,
77062,6.50%,
77401,6.60%,
77339,6.70%,
77345,6.70%,
77096,6.80%,
77056,6.90%,
77079,7.00%,
77069,7.70%,
77024,8.30%,
