Zip Code,% with Diabetes
77007,5.70%
77098,5.80%
77006,6.10%
77054,6.20%
77030,6.40%
77046,6.50%
77027,6.60%
77005,6.80%
77002,7.00%
77019,7.00%
77008,7.40%
77433,7.40%
77429,7.60%
77401,7.70%
77010,7.80%
77598,7.80%
77094,7.90%
77056,8.00%
77345,8.00%
77389,8.00%
77057,8.10%
77025,8.20%
77346,8.20%
77377,8.30%
77095,8.40%
77450,8.50%
77375,8.60%
77379,8.60%
77586,8.70%
77077,8.90%
77388,8.90%
77449,8.90%
77493,9.00%
77024,9.10%
77059,9.10%
77070,9.10%
77396,9.10%
77339,9.20%
77058,9.30%
77063,9.30%
77079,9.30%
77373,9.30%
77505,9.40%
77042,9.50%
77536,9.50%
77062,9.70%
77065,9.80%
77084,10.00%
77336,10.00%
77041,10.10%
77044,10.10%
77571,10.10%
77064,10.20%
77069,10.30%
77447,10.40%
77073,10.60%
77082,10.80%
77040,10.90%
77043,10.90%
77090,10.90%
77338,10.90%
77532,10.90%
77089,11.20%
77018,11.30%
77521,11.30%
77562,11.30%
77055,11.40%
77096,11.40%
77004,11.50%
77049,11.50%
77068,11.50%
77504,11.50%
77075,11.60%
77081,11.60%
77014,12.00%
77034,12.00%
77503,12.20%
77530,12.30%
77066,12.50%
77003,12.70%
77080,12.70%
77031,12.90%
77067,12.90%
77035,13.00%
77015,13.10%
77502,13.10%
77520,13.10%
77083,13.20%
77085,13.30%
77047,13.40%
77009,13.50%
77506,13.60%
77074,13.70%
77017,13.80%
77038,13.80%
77092,13.80%
77032,13.90%
77086,13.90%
77061,14.00%
77587,14.20%
77036,14.40%
77060,14.40%
77099,14.40%
77071,14.60%
77076,14.80%
77045,14.90%
77023,15.00%
77037,15.10%
77072,15.10%
77013,15.40%
77012,15.70%
77547,16.10%
77087,16.30%
77039,16.40%
77088,16.50%
77050,17.10%
77091,17.10%
77078,17.30%
77093,17.70%
77021,17.90%
77011,18.40%
77048,18.50%
77029,18.80%
77020,19.00%
77022,19.00%
77026,21.30%
77033,21.60%
77028,21.90%
77051,22.00%
77016,22.10%
