Country/Area Name,Population
Afghanistan,35739709
Albania,3072944
Algeria,42305560
American Samoa,48456
Andorra,85782
Angola,31427180
Anguilla,17730
Antigua and Barbuda,96852
Argentina,45089449
Armenia,3030310
Aruba,118056
Australia,25113987
Austria,8825644
Azerbaijan,10129069
"Bahamas, The",346623
Bahrain,1473724
Bangladesh,160947649
Barbados,300082
Belarus,9494495
Belgium,11635321
Belize,392106
Benin,12432985
Bermuda,71537
Bhutan,842110
Bolivia,11620835
Bosnia and Herzegovina,3840279
Botswana,2282973
Brazil,213349354
Brunei,457173
Bulgaria,7011475
Burkina Faso,20286336
Burma,56117594
Burundi,11519643
Cabo Verde,574799
Cambodia,16129716
Cameroon,26983060
Canada,37350365
Cayman Islands,60770
Central African Republic,5168685
Chad,16348657
Chile,18053934
China,1400797713
Colombia,47829703
Comoros,839591
Congo (Brazzaville),5174423
Congo (Kinshasa),98580816
Cook Islands,8763
Costa Rica,5041601
Croatia,4250505
Cuba,11086499
Curaçao,150827
Cyprus,1252725
Czechia,10691502
Côte d'Ivoire,26858174
Denmark,5841245
Djibouti,900897
Dominica,74442
Dominican Republic,10399252
Ecuador,16693091
Egypt,101973865
El Salvador,6427299
Equatorial Guinea,1501535
Eritrea,6032338
Estonia,1236253
Eswatini,1095839
Ethiopia,105376083
Faroe Islands,51313
Fiji,930476
Finland,5556081
France,67625957
French Polynesia,292560
Gabon,2175439
"Gambia, The",2246630
Gaza Strip,1876812
Georgia,4927734
Germany,84486950
Ghana,30918261
Gibraltar,29400
Greece,10638236
Greenland,57787
Grenada,112735
Guam,168149
Guatemala,16856499
Guernsey,67003
Guinea,12186302
Guinea-Bissau,1879337
Guyana,785685
Haiti,10923591
Honduras,9116618
Hong Kong,7231217
Hungary,9783707
Iceland,347209
India,1355597153
Indonesia,270532675
Iran,84038757
Iraq,37998273
Ireland,5120458
Isle of Man,89840
Israel,8533033
Italy,61449057
Jamaica,2813989
Japan,125555208
Jersey,100066
Jordan,10669125
Kazakhstan,18915907
Kenya,52348464
Kiribati,110622
"Korea, North",25568868
"Korea, South",51439350
Kosovo,1919978
Kuwait,2957304
Kyrgyzstan,5906824
Laos,7430770
Latvia,1903750
Lebanon,5841037
Lesotho,2146942
Liberia,4937555
Libya,6757971
Liechtenstein,38845
Lithuania,2768295
Luxembourg,617419
Macau,620014
Madagascar,26265521
Malawi,19337320
Malaysia,32800591
Maldives,391483
Mali,18985385
Malta,453321
Marshall Islands,76632
Mauritania,3915212
Mauritius,1303751
Mexico,127294489
"Micronesia, Federated States of",102937
Moldova,3396460
Monaco,30929
Mongolia,3136806
Montenegro,612064
Montserrat,5331
Morocco,35701589
Mozambique,29320964
Namibia,2581343
Nauru,9684
Nepal,29910522
Netherlands,17210116
New Caledonia,286430
New Zealand,4854803
Nicaragua,6128101
Niger,21944198
Nigeria,208640307
North Macedonia,2122376
Northern Mariana Islands,52048
Norway,5419620
Oman,3554839
Pakistan,228674451
Palau,21453
Panama,4139538
Papua New Guinea,8924209
Paraguay,7105476
Peru,31452824
Philippines,108205565
Poland,38345891
Portugal,10314630
Puerto Rico,3241261
Qatar,2409287
Romania,19196073
Russia,142818379
Rwanda,12458371
Saint Barthelemy,7149
"Saint Helena, Ascension, and Tristan da Cunha",7890
Saint Kitts and Nevis,53438
Saint Lucia,165634
Saint Martin,32427
Saint Pierre and Miquelon,5447
Saint Vincent and the Grenadines,101537
Samoa,202450
San Marino,34019
Sao Tome and Principe,207469
Saudi Arabia,33670051
Senegal,16549615
Serbia,6902768
Seychelles,95038
Sierra Leone,8035721
Singapore,5753597
Sint Maarten,43408
Slovakia,5442524
Slovenia,2102381
Solomon Islands,666359
Somalia,11557634
South Africa,55891953
South Sudan,10280050
Spain,46812053
Sri Lanka,22741278
Sudan,44337528
Suriname,610507
Sweden,10311555
Switzerland,8343256
Syria,18584688
Taiwan,23553634
Tajikistan,8727934
Tanzania,58659971
Thailand,69082954
Timor-Leste,1352065
Togo,7872308
Tonga,106198
Trinidad and Tobago,1405423
Tunisia,11620878
Turkey,81628106
Turkmenistan,5464588
Turks and Caicos Islands,54982
Tuvalu,11252
Uganda,41830731
Ukraine,43951400
United Arab Emirates,9720156
United Kingdom,66603767
United States,328239523
Uruguay,3380460
Uzbekistan,30305196
Vanuatu,292858
Venezuela,28663911
Vietnam,100669666
"Virgin Islands, British",36397
"Virgin Islands, U.S.",106669
Wallis and Futuna,15765
West Bank,2847911
Yemen,29216329
Zambia,17978611
Zimbabwe,14277179
